Taxar,ID,Provyteareal,Proportion_pine,Both Pine cover,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE presence,NordKoordinat,OstKoordinat,HuggnKlass,Browsing_presence,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small roads,Big roads,Pellet counts,Fresh only,Fresh and old ,Fresh ,Old and fresh,Old,Other ,No browsing,Total trees
2015,2.02E+11,153.94,0.084448486,13,7,0,1,6,1,0.051968299,1,6448252,332219,22,1,0,0,0,0,24.91942385,742.135849,0,1,0,1,0,0,0,0,1
2014,2.01E+11,153.94,0.116928674,18,18,0,0.1,0,0,0.000649604,1,6349866,374261,22,0,0,0,0,0,25.23767269,2159.587346,0,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6794884,398260,22,0,0,0,1,5,25.69855931,2943.145969,0,0,0,0,5,5,0,1,6
2007,2.01E+11,153.94,0.090944524,14,12,0,2,2,0,0.02598415,1,6794430,543407,22,0,0,0,0,0,25.91466469,4604.823847,0,0,0,0,1,1,0,0,1
2005,2.01E+11,153.94,0.032480187,5,2,0,0,3,0,0.019488112,1,6519743,304812,23,0,0,0,1,2,26.04217151,676.466005,0,0,0,0,0,0,7,3,10
2009,2.01E+11,153.94,0.019488112,3,3,0,2,0,0,0.012992075,1,6867108,583692,22,1,1,1,0,0,26.12911616,1019.60017,1,1,0,1,4,4,1,9,15
2005,2.01E+11,153.94,0,0,0,0,0,0,0,0,0,6773660,439701,23,0,0,0,0,0,26.21092999,2238.544903,0,0,0,0,1,1,1,4,6
2003,2.00E+11,153.94,0,0,54,0,0,0,0,0,0,6744625,599001,23,0,0,0,0,0,27.18768157,6091.096051,0,0,0,0,0,0,0,0,0
2012,2.01E+11,153.94,0.344289983,53,53,0,0.5,0,0,0.003248019,1,6693483,447887,22,0,0,0,1,7,27.22221002,3809.988356,0,0,0,0,0,0,0,0,0
2013,2.01E+11,153.94,0.584643368,90,90,0,0.5,0,0,0.003248019,1,6761488,440167,23,0,0,0,0,0,27.37895425,1840.803791,0,0,0,0,9,9,5,9,23
2016,2.02E+11,153.94,0.20137716,31,31,0,0.1,0,0,0.000649604,1,6546410,518368,23,0,0,0,0,0,27.66449314,808.139986,0,0,0,0,4,4,1,4,9
2006,2.01E+11,153.94,0.370274133,57,54,0,0,3,0,0.019488112,1,6833300,533438,23,0,0,0,0,0,27.8655364,2417.002946,0,0,0,0,1,1,0,1,2
2011,2.01E+11,153.94,0.055216318,8.5,8,0,0.5,0.5,0,0.006496037,1,6851231,512404,23,0,1,1,1,4,28.21640762,2723.209509,1,0,0,0,0,0,1,0,1
2007,2.01E+11,153.94,0.747044303,115,115,0,0,0,0,0,0,6374154,404003,23,0,0,0,0,0,29.42495807,466.351087,0,0,0,0,0,0,0,0,0
2006,2.01E+11,153.94,0.649603742,100,100,0,3,0,0,0.019488112,1,6571306,341670,22,0,0,0,0,0,29.63512698,1614.981821,0,0,0,0,0,0,0,0,0
2003,2.00E+11,153.94,0,0,3,0,2,0,0,0.012992075,1,6722628,475815,22,0,0,0,1,6,30.26529975,238.233796,0,0,0,0,2,2,2,2,6
2009,2.01E+11,153.94,0.051968299,8,8,0,0,0,0,0,0,6700287,594752,22,0,0,0,0,0,32.79313363,1457.758457,0,0,0,0,0,0,2,1,3
2012,2.01E+11,153.94,0.256593478,39.5,39,0,0.5,0.5,0,0.006496037,1,6606437,357478,22,0,0,0,1,4,33.09896055,216.00137,0,0,0,0,0,0,0,0,0
2013,2.01E+11,153.94,0.019488112,3,3,0,0,0,0,0,0,6836875,497132,22,0,0,0,1,5,33.50105091,2022.856203,0,0,0,0,0,0,1,1,2
2015,2.02E+11,153.94,0.123424711,19,17,0,0.1,2,0,0.013641679,1,6463845,374503,23,0,0,0,0,0,34.40666892,880.282032,0,0,0,0,0,0,1,1,2
2003,2.00E+11,153.94,0.350786021,54,6,0,2,2,0,0.02598415,1,6642744,441802,22,0,1,1,1,4,34.60788051,1328.986758,1,0,0,0,6,6,0,11,17
2003,2.00E+11,153.94,0.077952449,12,69,0,0,0,0,0,0,6336701,380457,22,0,0,0,0,0,35.57862216,1103.721745,0,0,0,0,0,0,0,1,1
2006,2.01E+11,153.94,0.077952449,12,12,0,2,0,0,0.012992075,1,6820045,553582,22,0,0,0,0,0,36.06457583,2142.49691,0,0,0,0,3,3,0,0,3
2010,2.01E+11,153.94,0.207873197,32,27,0,0,5,0,0.032480187,1,6752011,450160,22,0,0,0,0,0,36.08941884,935.766039,0,0,2,2,8,10,0,2,12
2005,2.01E+11,153.94,0.097440561,15,12,0,2,3,0,0.032480187,1,6734019,590143,23,0,0,0,0,0,36.81020744,43.62545,0,0,0,0,0,0,0,1,1
2006,2.01E+11,153.94,0.272833572,42,42,0,0,0,0,0,0,6486709,454636,22,0,2,1,0,0,37.79452146,903.009044,2,0,1,1,2,3,1,9,13
2006,2.01E+11,153.94,0.123424711,19,19,0,2,0,0,0.012992075,1,6739775,530085,22,0,1,1,1,1,39.06880976,108.156315,1,0,0,0,4,4,0,4,8
2016,2.02E+11,153.94,0.207873197,32,32,0.1,0,0,0,0.000649604,1,6885858,552175,22,1,0,0,0,0,40.51273945,6301.811497,0,2,1,3,1,2,1,0,5
2013,2.01E+11,153.94,0.038976225,6,6,0,0.5,0,0,0.003248019,1,6782257,611524,22,0,0,0,0,0,41.32760919,1899.60113,0,0,0,0,0,0,0,2,2
2011,2.01E+11,153.94,0.048720281,7.5,7,0.5,0.5,0.5,0.5,0.012992075,1,6496033,415947,22,0,0,0,0,0,41.56510431,3116.625507,0,0,0,0,0,0,0,0,0
2011,2.01E+11,153.94,0.032480187,5,5,0.5,0,0,0,0.003248019,1,6614516,558452,23,0,3,1,1,1,41.57144755,2289.369566,3,0,0,0,10,10,2,2,14
2011,2.01E+11,153.94,0.029232168,4.5,4,0,0,0.5,0,0.003248019,1,6720964,446048,22,0,0,0,0,0,41.89181641,7455.457585,0,0,0,0,3,3,0,4,7
2013,2.01E+11,153.94,0.129920748,20,20,0,0,0,0,0,0,6605892,425294,22,0,0,0,1,2,42.8074278,78.11503,0,0,0,0,0,0,0,0,0
2012,2.01E+11,153.94,0.129920748,20,20,0,0.5,0,0,0.003248019,1,6457693,310112,21,0,2,1,0,0,42.9356208,170.634585,2,0,0,0,0,0,0,2,2
2015,2.02E+11,153.94,0.220865272,34,34,0.1,0.1,0,0,0.001299207,1,6458358,337574,23,0,1,1,0,0,43.03680024,95.448836,1,0,0,0,0,0,0,0,0
2009,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6775979,490857,22,0,0,0,1,5,43.17408194,5733.219364,0,0,0,0,1,1,1,11,13
2011,2.01E+11,153.94,0.10068858,15.5,15,0.5,0.5,0.5,0,0.009744056,1,6583779,563632,21,0,0,0,0,0,43.71299227,556.235591,0,0,0,0,0,0,0,0,0
2014,2.01E+11,153.94,0.071456412,11,11,0,0,0,0,0,0,6848234,480157,22,0,2,1,0,0,43.98188172,2193.307406,2,0,0,0,0,0,2,3,5
2013,2.01E+11,153.94,0,0,0,0,0,0,0,0,0,6836875,498632,21,0,0,0,1,5,44.16057315,939.325383,0,0,0,0,0,0,0,0,0
2006,2.01E+11,153.94,0.019488112,3,3,0,0,0,0,0,0,6652971,420189,22,0,0,0,1,3,44.49804995,1459.162113,0,0,0,0,20,20,0,19,39
2016,2.02E+11,153.94,0,0,0,0,0,0,0,0,0,6780055,387093,22,0,0,0,0,0,44.65317257,3520.947992,0,0,0,0,1,1,5,3,9
2008,2.01E+11,153.94,0.17539301,27,27,12,2,0,0,0.090944524,1,6762270,594487,23,0,1,1,1,2,44.7175323,2747.185427,1,0,0,0,1,1,0,0,1
2012,2.01E+11,153.94,0.02598415,4,4,0,0.5,0,0,0.003248019,1,6793315,436169,22,0,0,0,0,0,44.88918453,90.042475,0,0,0,0,0,0,2,5,7
2005,2.01E+11,153.94,0.948421463,146,146,0,0,0,0,0,0,6583717,541434,23,0,0,0,0,0,45.11900303,953.168647,0,0,0,0,0,0,0,0,0
2007,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6476920,405178,23,0,0,0,0,0,45.77019466,988.282291,0,0,3,3,5,8,0,0,8
2015,2.02E+11,153.94,0.020137716,3.1,3,0,6,0.1,0,0.039625828,1,6618721,421630,22,0,0,0,1,5,47.23382065,283.477142,0,0,0,0,0,0,0,0,0
2010,2.01E+11,153.94,0.077952449,12,12,0,0,0,0,0,0,6656508,406839,23,0,0,0,1,8,47.42469406,4286.321587,0,0,0,0,5,5,0,4,9
2008,2.01E+11,153.94,0.019488112,3,3,0,2,0,0,0.012992075,1,6785664,586202,22,0,0,0,1,3,48.98427842,1763.863119,0,0,0,0,6,6,1,0,7
2008,2.01E+11,153.94,0.058464337,9,3,12,2,6,0,0.129920748,1,6676111,416609,22,0,0,0,1,5,49.04772908,383.703304,0,0,0,0,0,0,0,0,0
2014,2.01E+11,153.94,0.240353384,37,33,0,0,4,0,0.02598415,1,6701378,411172,21,0,0,0,1,12,50.07277825,4404.711856,0,0,0,0,0,0,0,0,0
2016,2.02E+11,153.94,0.071456412,11,11,0,0,0,0,0,0,6458184,327643,23,0,0,0,0,0,50.27571508,1054.131346,0,0,0,0,0,0,0,0,0
2009,2.01E+11,153.94,0.019488112,3,3,0,0,0,0,0,0,6828076,459220,22,0,0,0,0,0,50.40098705,2471.321104,0,0,0,0,0,0,6,2,8
