Taxar,ID_analysis,Provyteareal,Both Pine cover,Pine_proportion,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE cover,RASE presence,NordKoordinat,OstKoordinat,Forest_class,HuggnKlass,ViktﾄlgSpillh,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small,Small roads,Big roads,Pellet counts,Inventetad 舁gspillningarea m2,Viktad舁gspillniningsAreal(ha)
2009,2.0093E+11,153.94,3,0.019488112,3,8,0,0,0,0.051968299,8,1,6725171,504471,3,32,0,0,0,0,0,0.0054,5.384719297,113.411223,0,38.48,4518.3215
2005,2.00551E+11,153.94,0.5,0.003248019,0,0.5,0.5,0.5,0,0.009744056,1.5,1,6462849,311194,3,31,0,0,0,0,0,0.0056,5.625666426,980.666748,0,38.48,3329.408571
2003,2.00342E+11,153.94,0,0,0,0,0,0,0,0,0,0,6648686,556641,4,42,0,0,0,0,0,0.0057,5.663958197,166.358491,0,38.48,2734.210909
2003,2.00331E+11,153.94,0,0,0,0,0,0,0,0,0,0,6849295,493245,4,42,0,0,0,0,0,0.0058,5.770838788,427.337696,0,38.48,3633.267901
2005,2.00542E+11,153.94,5,0.032480187,3,0,3,2,2,0.045472262,7,1,6578065,503907,2,23,0,0,0,0,0,0.0059,5.911337678,395.215064,0,38.48,2412.2125
2006,2.00642E+11,153.94,8,0.051968299,8,0,2,0,0,0.012992075,2,1,6669736,544388,3,33,0,0,0,0,0,0.0059,5.911742628,3919.547017,0,38.48,3222.462857
2013,2.01331E+11,153.94,3.5,0.022736131,3,0,0,0.5,0,0.003248019,0.5,1,6594747,402460,4,42,0,0,0,0,0,0.0059,5.932054638,929.075483,0,38.48,2997.321205
2016,2.0163E+11,153.94,7,0.045472262,6,0.1,1,1,0,0.013641679,2.1,1,6740770,602578,2,22,687462.8178,1,1,0,0,0.006,5.96157229,4447.008211,1,38.48,2645.356923
2006,2.00641E+11,153.94,8,0.051968299,5,0,2,3,2,0.045472262,7,1,6392191,407787,2,23,0,0,0,0,0,0.006,5.979660034,1057.900188,0,38.48,2523.175163
2003,2.0033E+11,153.94,0,0,0,0,0,0,0,0,0,0,6611030,340737,4,42,0,0,0,1,1,0.006,6.040285597,1439.086661,0,38.48,2783.6375
2010,2.01041E+11,153.94,2,0.012992075,2,0,2,0,0,0.012992075,2,1,6437441,329892,3,31,0,0,0,1,2,0.0061,6.064839226,1205.41707,0,38.48,4498.394667
2012,2.0123E+11,153.94,6.5,0.042224243,6,0,4,0.5,0,0.029232168,4.5,1,6612082,453366,2,22,0,0,0,0,0,0.0062,6.165941712,379.188474,0,38.48,3241.70443
2013,2.01341E+11,153.94,7,0.045472262,5,0.5,5,2,2,0.061712355,9.5,1,6487365,467424,2,23,0,0,0,0,0,0.0062,6.181704099,1860.503468,0,38.48,3650.870152
2010,2.0103E+11,123.21,22.5,0.182615047,22,0,0.5,0.5,0,6.59E-05,0.008116224,1,6828017,455213,2,23,807010.2914,1,1,1,1,0.0062,6.195240547,1431.451879,1,38.45,3102.954571
2015,2.0153E+11,117.12,1.1,0.009392077,1,0,0.1,0.1,0,1.46E-05,0.00170765,1,6702585,501208,3,32,0,0,0,1,4,0.0063,6.294791812,4944.787762,0,37.11,2821.971572
2008,2.00841E+11,153.94,3,0.019488112,3,2,2,0,0,0.02598415,4,1,6525056,468370,3,32,0,0,0,0,0,0.0064,6.354532341,3375.226038,0,38.48,3590.269767
2013,2.01341E+11,153.94,0.5,0.003248019,0.5,0,0.5,0,0,0.003248019,0.5,1,6461739,403498,4,41,0,0,0,0,0,0.0065,6.483718651,2858.084358,0,38.48,3650.870152
2006,2.0063E+11,153.94,8,0.051968299,6,0,2,2,0,0.02598415,4,1,6698230,484613,3,31,0,0,0,1,3,0.0065,6.525722202,3024.405277,0,38.48,3032.430537
2013,2.01342E+11,120.56,0,0,0,0,0,0,0,0,0,0,6416830,372252,3,31,0,0,0,0,0,0.0067,6.713489036,935.901143,0,38,3568.524034
2008,2.00841E+11,121.23,0,0,0,0,0,0,0,0,0,0,6406837,411810,4,42,0,0,0,0,0,0.0068,6.757404889,602.288417,0,38.14,2346.656809
2008,2.00841E+11,153.94,0,0,0,0,0,0,0,0,0,0,6500833,415484,1,11,0,0,0,0,0,0.0071,7.137634057,383.754686,0,38.48,2800.711111
2011,2.01131E+11,119.88,3.5,0.029195863,0.5,0,0,3,0,0.000208751,0.025025025,1,6852235,513401,2,23,0,0,0,0,0,0.0072,7.192890617,3559.058577,0,37.84,2679.629497
2007,2.00741E+11,153.94,5,0.032480187,2,0,3,3,0,0.038976225,6,1,6431760,373729,4,42,0,0,0,0,0,0.0072,7.216738471,929.36008,0,38.48,2726.299798
2005,2.00551E+11,153.94,0,0,0,0,0,0,0,0,0,0,6444384,296424,4,42,0,0,0,0,0,0.0072,7.227541369,28.067575,0,38.48,3329.408571
2015,2.0153E+11,153.94,6,0.038976225,6,0,0,0,0,0,0,0,6727343,532106,3,32,0,0,0,1,8,0.0073,7.257156291,986.135416,0,38.48,2926.151067
2010,2.0103E+11,122.62,1,0.008155276,0.5,0,0.5,0.5,0,6.65E-05,0.008155276,1,6562626,373011,3,31,0,0,0,0,0,0.0073,7.262668749,1141.755066,0,38.37,4480.0451
2013,2.0134E+11,153.94,8,0.051968299,6,0,7,2,0,0.058464337,9,1,6595385,471946,4,42,0,0,0,1,11,0.0073,7.282075062,607.831544,0,38.48,3077.771861
2004,2.0043E+11,153.94,2,0.012992075,2,0,0,0,0,0,0,0,6576445,332663,4,42,0,0,0,0,0,0.0074,7.362656532,223.439997,0,38.48,2910.166477
2009,2.0094E+11,153.94,0,0,0,0,0,0,0,0,0,0,6346471,378944,3,32,0,0,0,0,0,0.0074,7.440144876,943.725041,0,38.48,2646.11451
2005,2.0053E+11,117.82,2.5,0.021218808,2,0,0.5,0.5,0,7.20E-05,0.008487523,1,6703881,496037,4,42,0,0,0,0,0,0.0077,7.658660394,1924.644691,0,37.3,2780.803748
2009,2.00942E+11,153.94,0,0,0,0,0,0,0,0,0,0,6581234,517676,4,42,0,0,0,0,0,0.0078,7.799107955,516.180208,0,38.48,2205.451429
2014,2.0143E+11,153.94,3,0.019488112,3,2,0.1,0,0,0.013641679,2.1,1,6733094,571592,2,23,0,0,0,1,7,0.0078,7.807329917,3282.009286,0,38.48,2620.433791
